"","Nome","Partido","UF","Telefone","E-mail","parlamentar","Telefones"
"68","DRA. VANDA MILANI","SOLIDARIEDADE","AC","3215-5516","dep.dra.vandamilani@camara.leg.br","Deputado/a",NA
"69","EDILÁZIO JÚNIOR","PSD","MA","3215-5862","dep.edilaziojunior@camara.leg.br","Deputado/a",NA
"70","EDIO LOPES","PL","RR","3215-5408","dep.ediolopes@camara.leg.br","Deputado/a",NA
"71","EDUARDO BARBOSA","PSDB","MG","3215-5540","dep.eduardobarbosa@camara.leg.br","Deputado/a",NA
"72","EDUARDO BOLSONARO","PSL","SP","3215-5350","dep.eduardobolsonaro@camara.leg.br","Deputado/a",NA
"73","EDUARDO COSTA","PTB","PA","3215-5286","dep.eduardocosta@camara.leg.br","Deputado/a",NA
"74","EFRAIM FILHO","DEM","PB","3215-5744","dep.efraimfilho@camara.leg.br","Deputado/a",NA
"75","ELCIONE BARBALHO","MDB","PA","3215-5206","dep.elcionebarbalho@camara.leg.br","Deputado/a",NA
"76","EMANUEL PINHEIRO NETO","PTB","MT","3215-5374","dep.emanuelpinheironeto@camara.leg.br","Deputado/a",NA
"77","EMIDINHO MADEIRA","PSB","MG","3215-5837","dep.emidinhomadeira@camara.leg.br","Deputado/a",NA
"78","ENÉIAS REIS","PSL","MG","","dep.eneiasreis@camara.leg.br","Deputado/a",NA
"79","ENRICO MISASI","PV","SP","3215-5574","dep.enricomisasi@camara.leg.br","Deputado/a",NA
"80","EVAIR VIEIRA DE MELO","PP","ES","3215-5443","dep.evairvieirademelo@camara.leg.br","Deputado/a",NA
"81","EVANDRO ROMAN","PSD","PR","3215-5575","dep.evandroroman@camara.leg.br","Deputado/a",NA
"82","FÁBIO FARIA","PSD","RN","3215-5706","dep.fabiofaria@camara.leg.br","Deputado/a",NA
"83","FÁBIO HENRIQUE","PDT","SE","3215-5475","dep.fabiohenrique@camara.leg.br","Deputado/a",NA
"84","FÁBIO RAMALHO","MDB","MG","3215-5638","dep.fabioramalho@camara.leg.br","Deputado/a",NA
"85","FABIO REIS","MDB","SE","3215-5410","dep.fabioreis@camara.leg.br","Deputado/a",NA
"86","FABIO SCHIOCHET","PSL","SC","3215-5758","dep.fabioschiochet@camara.leg.br","Deputado/a",NA
"87","FÁBIO TRAD","PSD","MS","3215-5452","dep.fabiotrad@camara.leg.br","Deputado/a",NA
"88","FAUSTO PINATO","PP","SP","3215-5562","dep.faustopinato@camara.leg.br","Deputado/a",NA
"89","FELÍCIO LATERÇA","PSL","RJ","3215-5275","dep.feliciolaterca@camara.leg.br","Deputado/a",NA
"90","FÉLIX MENDONÇA JÚNIOR","PDT","BA","3215-5912","dep.felixmendoncajunior@camara.leg.br","Deputado/a",NA
"91","FERNANDO COELHO FILHO","DEM","PE","3215-5662","dep.fernandocoelhofilho@camara.leg.br","Deputado/a",NA
"92","FERNANDO MONTEIRO","PP","PE","3215-5243","dep.fernandomonteiro@camara.leg.br","Deputado/a",NA
"93","FLÁVIA ARRUDA","PL","DF","3215-5646","dep.flaviaarruda@camara.leg.br","Deputado/a",NA
"94","FRANCO CARTAFINA","PP","MG","3215-5283","dep.francocartafina@camara.leg.br","Deputado/a",NA
"95","GENECIAS NORONHA","SOLIDARIEDADE","CE","3215-5244","dep.geneciasnoronha@camara.leg.br","Deputado/a",NA
"96","GENERAL GIRÃO","PSL","RN","3215-5914","dep.generalgirao@camara.leg.br","Deputado/a",NA
"97","GENINHO ZULIANI","DEM","SP","3215-5860","dep.geninhozuliani@camara.leg.br","Deputado/a",NA
"98","GIACOBO","PL","PR","3215-5762","dep.giacobo@camara.leg.br","Deputado/a",NA
"99","GIL CUTRIM","PDT","MA","3215-5385","dep.gilcutrim@camara.leg.br","Deputado/a",NA
"100","GILBERTO NASCIMENTO","PSC","SP","3215-5834","dep.gilbertonascimento@camara.leg.br","Deputado/a",NA
"101","GIOVANI CHERINI","PL","RS","3215-5468","dep.giovanicherini@camara.leg.br","Deputado/a",NA
"102","GILDENEMYR","PL","AM","3215-5660","dep.gildenemyr@camara.leg.br","Deputado/a",NA
"103","GLAUSTIN FOKUS","PSC","GO","3215-5473","dep.glaustinfokus@camara.leg.br","Deputado/a",NA
"104","GONZAGA PATRIOTA","PSB","PE","3215-5430","dep.gonzagapatriota@camara.leg.br","Deputado/a",NA
"105","GREYCE ELIAS","AVANTE","MG","3215-5340","dep.greyceelias@camara.leg.br","Deputado/a",NA
"106","GUILHERME MUSSI","PP","SP","3215-5712","dep.guilhermemussi@camara.leg.br","Deputado/a",NA
"107","GURGEL","PSL","RJ","3215-5937","dep.gurgel@camara.leg.br","Deputado/a",NA
"108","GUSTAVO FRUET","PDT","PR","3215-5827","dep.gustavofruet@camara.leg.br","Deputado/a",NA
"109","GUSTINHO RIBEIRO","SOLIDARIEDADE","SE","3215-5379","dep.gustinhoribeiro@camara.leg.br","Deputado/a",NA
"110","HAROLDO CATHEDRAL","PSD","RR","3215-5280","dep.haroldocathedral@camara.leg.br","Deputado/a",NA
"111","HEITOR FREIRE","PSL","CE","3215-5367","dep.heitorfreire@camara.leg.br","Deputado/a",NA
"112","HEITOR SCHUCH","PSB","RS","3215-5277","dep.heitorschuch@camara.leg.br","Deputado/a",NA
"113","HELDER SALOMÃO","PT","ES","3215-5573","dep.heldersalomao@camara.leg.br","Deputado/a",NA
"114","HERCÍLIO COELHO DINIZ","MDB","MG","3215-5510","dep.herciliocoelhodiniz@camara.leg.br","Deputado/a",NA
"115","HERCULANO PASSOS","MDB","SP","3215-5926","dep.herculanopassos@camara.leg.br","Deputado/a",NA
"116","HERMES PARCIANELLO","MDB","PR","3215-5234","dep.hermesparcianello@camara.leg.br","Deputado/a",NA
"117","HILDO ROCHA","MDB","MA","3215-5734","dep.hildorocha@camara.leg.br","Deputado/a",NA
"118","HIRAN GONÇALVES","PP","RR","3215-5478","dep.hirangoncalves@camara.leg.br","Deputado/a",NA
"119","HUGO LEAL","PSD","RJ","3215-5631","dep.hugoleal@camara.leg.br","Deputado/a",NA
"120","IGOR TIMO","PODE","MG","3215-5726","dep.igortimo@camara.leg.br","Deputado/a",NA
"121","ISNALDO BULHÕES JR.","MDB","AL","3215-5460","dep.isnaldobulhoesjr@camara.leg.br","Deputado/a",NA
"122","JAQUELINE CASSOL","PP","RO","3215-5242","dep.jaquelinecassol@camara.leg.br","Deputado/a",NA
"123","JEFFERSON CAMPOS","PSB","SP","3215-5346","dep.jeffersoncampos@camara.leg.br","Deputado/a",NA
"124","JERÔNIMO GOERGEN","PP","RS","3215-5316","dep.jeronimogoergen@camara.leg.br","Deputado/a",NA
"125","JÉSSICA SALES","MDB","AC","3215-5952","dep.jessicasales@camara.leg.br","Deputado/a",NA
"126","JESUS SÉRGIO","PDT","AC","3215-5941","dep.jesussergio@camara.leg.br","Deputado/a",NA
"127","JHONATAN DE JESUS","PRB","RR","3215-5535","dep.jhonatandejesus@camara.leg.br","Deputado/a",NA
"128","JOÃO CAMPOS","PRB","GO","3215-5315","dep.joaocampos@camara.leg.br","Deputado/a",NA
"129","JOÃO CARLOS BACELAR","PL","BA","3215-5928","dep.joaocarlosbacelar@camara.leg.br","Deputado/a",NA
"130","JOÃO MAIA","PL","RN","3215-5439","dep.joaomaia@camara.leg.br","Deputado/a",NA
"131","JOÃO ROMA","PRB","BA","3215-5276","dep.joaoroma@camara.leg.br","Deputado/a",NA
"132","JOAQUIM PASSARINHO","PSD","PA","3215-5334","dep.joaquimpassarinho@camara.leg.br","Deputado/a",NA
"133","JOICE HASSELMANN","PSL","SP","3215-5825","dep.joicehasselmann@camara.leg.br","Deputado/a",NA
"134","JOSE MARIO SCHREINER","DEM","GO","3215-5567","dep.josemarioschreiner@camara.leg.br","Deputado/a",NA
"135","JOSÉ MEDEIROS","PODE","MT","3215-5335","dep.josemedeiros@camara.leg.br","Deputado/a",NA
"136","JOSÉ ROCHA","PL","BA","3215-5908","dep.joserocha@camara.leg.br","Deputado/a",NA
"137","JUAREZ COSTA","MDB","MT","3215-5472","dep.juarezcosta@camara.leg.br","Deputado/a",NA
"138","JÚLIO CESAR","PSD","PI","3215-5944","dep.juliocesar@camara.leg.br","Deputado/a",NA
"139","JÚNIOR FERRARI","PSD","PA","3215-5919","dep.juniorferrari@camara.leg.br","Deputado/a",NA
"140","JUNIOR LOURENÇO","PL","MA","3215-5513","dep.juniorlourenco@camara.leg.br","Deputado/a",NA
"141","JÚNIOR MANO","PL","CE","3215-5807","dep.juniormano@camara.leg.br","Deputado/a",NA
"142","JUSCELINO FILHO","DEM","MA","3215-5222","dep.juscelinofilho@camara.leg.br","Deputado/a",NA
"143","KIM KATAGUIRI","DEM","SP","3215-5421","dep.kimkataguiri@camara.leg.br","Deputado/a",NA
"144","LAERCIO OLIVEIRA","PP","SE","3215-5629","dep.laerciooliveira@camara.leg.br","Deputado/a",NA
"145","LAFAYETTE DE ANDRADA","PRB","MG","3215-5208","dep.lafayettedeandrada@camara.leg.br","Deputado/a",NA
"146","LEONARDO MONTEIRO","PT","MG","3215-5922","dep.leonardomonteiro@camara.leg.br","Deputado/a",NA
"147","LEUR LOMANTO JÚNIOR","DEM","BA","3215-5406","dep.leurlomantojunior@camara.leg.br","Deputado/a",NA
"148","LINCOLN PORTELA","PL","MG","3215-5615","dep.lincolnportela@camara.leg.br","Deputado/a",NA
"149","LOESTER TRUTIS","PSL","MS","3215-5380","dep.loestertrutis@camara.leg.br","Deputado/a",NA
"150","LOURIVAL GOMES","PSL","RJ","3215-5636","dep.lourivalgomes@camara.leg.br","Deputado/a",NA
"151","LUCAS GONZALEZ","NOVO","MG","3215-5581","dep.lucasgonzalez@camara.leg.br","Deputado/a",NA
"152","LUCAS REDECKER","PSDB","RS","3215-5905","dep.lucasredecker@camara.leg.br","Deputado/a",NA
"153","LUCIANO DUCCI","PSB","PR","3215-5427","dep.lucianoducci@camara.leg.br","Deputado/a",NA
"154","LUCIO MOSQUINI","MDB","RO","3215-5918","dep.luciomosquini@camara.leg.br","Deputado/a",NA
"155","LUIS MIRANDA","DEM","DF","3215-5241","dep.luismiranda@camara.leg.br","Deputado/a",NA
"156","LUIZ ANTÔNIO CORRÊA","S.PART.","RJ","3215-5610","dep.luizantoniocorrea@camara.leg.br","Deputado/a",NA
"157","LUIZ CARLOS","PSDB","AP","3215-5512","dep.luizcarlos@camara.leg.br","Deputado/a",NA
"158","LUIZ NISHIMORI","PL","PR","3215-5907","dep.luiznishimori@camara.leg.br","Deputado/a",NA
"159","LUIZ PHILIPPE DE ORLEANS E BRAGANÇA","PSL","SP","3215-5719","dep.luizphilippedeorleansebraganca@camara.leg.br","Deputado/a",NA
"160","MAGDA MOFATTO","PL","GO","3215-5934","dep.magdamofatto@camara.leg.br","Deputado/a",NA
"161","MAJOR VITOR HUGO","PSL","GO","3215-5803","dep.majorvitorhugo@camara.leg.br","Deputado/a",NA
"162","MARA ROCHA","PSDB","AC","3215-5607","dep.mararocha@camara.leg.br","Deputado/a",NA
"163","MARCEL VAN HATTEM","NOVO","RS","3215-5271","dep.marcelvanhattem@camara.leg.br","Deputado/a",NA
"164","MARCELO ARO","PP","MG","3215-5821","dep.marceloaro@camara.leg.br","Deputado/a",NA
"165","MARCELO MORAES","PTB","RS","3215-5258","dep.marcelomoraes@camara.leg.br","Deputado/a",NA
"166","MARCELO RAMOS","PL","AM","3215-5805","dep.marceloramos@camara.leg.br","Deputado/a",NA
"167","MÁRCIO BIOLCHI","MDB","RS","3215-5843","dep.marciobiolchi@camara.leg.br","Deputado/a",NA
"168","MÁRCIO MARINHO","PRB","BA","3215-5326","dep.marciomarinho@camara.leg.br","Deputado/a",NA
"169","MARCOS AURÉLIO SAMPAIO","MDB","PI","3215-5565","dep.marcosaureliosampaio@camara.leg.br","Deputado/a",NA
"170","MARGARETE COELHO","PP","PI","3215-5210","dep.margaretecoelho@camara.leg.br","Deputado/a",NA
"171","MARIANA CARVALHO","PSDB","RO","3215-5508","dep.marianacarvalho@camara.leg.br","Deputado/a",NA
"172","MÁRIO HERINGER","PDT","MG","3215-5211","dep.marioheringer@camara.leg.br","Deputado/a",NA
"173","MÁRIO NEGROMONTE JR.","PP","BA","3215-5424","dep.marionegromontejr@camara.leg.br","Deputado/a",NA
"174","MARRECA FILHO","PATRIOTA","MA","3215-5537","dep.marrecafilho@camara.leg.br","Deputado/a",NA
"175","MARX BELTRÃO","PSD","AL","3215-5722","dep.marxbeltrao@camara.leg.br","Deputado/a",NA
"176","MISAEL VARELLA","PSD","MG","3215-5721","dep.misaelvarella@camara.leg.br","Deputado/a",NA
"177","MOSES RODRIGUES","MDB","CE","3215-5809","dep.mosesrodrigues@camara.leg.br","Deputado/a",NA
"178","NELSON BARBUDO","PSL","MT","3215-5635","dep.nelsonbarbudo@camara.leg.br","Deputado/a",NA
"179","NEREU CRISPIM","PSL","RS","3215-5483","dep.nereucrispim@camara.leg.br","Deputado/a",NA
"180","NERI GELLER","PP","MT","3215-5658","dep.nerigeller@camara.leg.br","Deputado/a",NA
"181","NEWTON CARDOSO JR","MDB","MG","3215-5932","dep.newtoncardosojr@camara.leg.br","Deputado/a",NA
"182","NILSON PINTO","PSDB","PA","3215-5527","dep.nilsonpinto@camara.leg.br","Deputado/a",NA
"183","NILTO TATTO","PT","SP","3215-5502","dep.niltotatto@camara.leg.br","Deputado/a",NA
"184","NIVALDO ALBUQUERQUE","PTB","AL","3215-5425","dep.nivaldoalbuquerque@camara.leg.br","Deputado/a",NA
"185","ODAIR CUNHA","PT","MG","3215-5556","dep.odaircunha@camara.leg.br","Deputado/a",NA
"186","OSIRES DAMASO","PSC","TO","3215-5474","dep.osiresdamaso@camara.leg.br","Deputado/a",NA
"187","OTACI NASCIMENTO","SOLIDARIEDADE","RR","3215-5521","dep.otacinascimento@camara.leg.br","Deputado/a",NA
"188","OTTO ALENCAR FILHO","PSD","BA","3215-5444","dep.ottoalencarfilho@camara.leg.br","Deputado/a",NA
"189","PASTOR EURICO","PATRIOTA","PE","3215-5906","dep.pastoreurico@camara.leg.br","Deputado/a",NA
"190","PAULA BELMONTE","CIDADANIA","DF","3215-5440","dep.paulabelmonte@camara.leg.br","Deputado/a",NA
"191","PAULO ABI-ACKEL","PSDB","MG","3215-5718","dep.pauloabiackel@camara.leg.br","Deputado/a",NA
"192","PAULO AZI","DEM","BA","3215-5422","dep.pauloazi@camara.leg.br","Deputado/a",NA
"193","PAULO BENGTSON","PTB","PA","3215-5505","dep.paulobengtson@camara.leg.br","Deputado/a",NA
"194","PAULO EDUARDO MARTINS","PSC","PR","3215-5233","dep.pauloeduardomartins@camara.leg.br","Deputado/a",NA
"195","PAULO FREIRE COSTA","PL","SP","3215-5416","dep.paulofreirecosta@camara.leg.br","Deputado/a",NA
"196","PAULO PEREIRA DA SILVA","SOLIDARIEDADE","SP","3215-5217","dep.paulopereiradasilva@camara.leg.br","Deputado/a",NA
"197","PEDRO LUPION","DEM","PR","3215-5375","dep.pedrolupion@camara.leg.br","Deputado/a",NA
"198","PEDRO UCZAI","PT","SC","3215-5229","dep.pedrouczai@camara.leg.br","Deputado/a",NA
"199","PEDRO WESTPHALEN","PP","RS","3215-5526","dep.pedrowestphalen@camara.leg.br","Deputado/a",NA
"200","PERPÉTUA ALMEIDA","PCdoB","AC","3215-5310","dep.perpetuaalmeida@camara.leg.br","Deputado/a",NA
"201","PINHEIRINHO","PP","MG","3215-5584","dep.pinheirinho@camara.leg.br","Deputado/a",NA
"202","POMPEO DE MATTOS","PDT","RS","3215-5704","dep.pompeodemattos@camara.leg.br","Deputado/a",NA
"203","PROFESSOR ISRAEL BATISTA","PV","DF","3215-5854","dep.professorisraelbatista@camara.leg.br","Deputado/a",NA
"204","PROFESSORA DORINHA SEABRA REZENDE","DEM","TO","3215-5432","dep.professoradorinhaseabrarezende@camara.leg.br","Deputado/a",NA
"205","RAFAEL MOTTA","PSB","RN","3215-5626","dep.rafaelmotta@camara.leg.br","Deputado/a",NA
"206","REGINALDO LOPES","PT","MG","3215-5426","dep.reginaldolopes@camara.leg.br","Deputado/a",NA
"207","REINHOLD STEPHANES JUNIOR","PSD","PR","3215-5221","dep.reinholdstephanesjunior@camara.leg.br","Deputado/a",NA
"208","RICARDO BARROS","PP","PR","3215-5412","dep.ricardobarros@camara.leg.br","Deputado/a",NA
"209","ROBERTO DE LUCENA","PODE","SP","3215-5235","dep.robertodelucena@camara.leg.br","Deputado/a",NA
"210","RODRIGO COELHO","PSB","SC","3215-5329","dep.rodrigocoelho@camara.leg.br","Deputado/a",NA
"211","RODRIGO MAIA","DEM","RJ","3215-5975","dep.rodrigomaia@camara.leg.br","Deputado/a",NA
"212","ROGÉRIO PENINHA MENDONÇA","MDB","SC","3215-5656","dep.rogeriopeninhamendonca@camara.leg.br","Deputado/a",NA
"213","RONALDO CARLETTO","PP","BA","3215-5262","dep.ronaldocarletto@camara.leg.br","Deputado/a",NA
"214","ROSE MODESTO","PSDB","MS","3215-5414","dep.rosemodesto@camara.leg.br","Deputado/a",NA
"215","RUBENS BUENO","CIDADANIA","PR","3215-5916","dep.rubensbueno@camara.leg.br","Deputado/a",NA
"216","RUBENS OTONI","PT","GO","3215-5501","dep.rubensotoni@camara.leg.br","Deputado/a",NA
"217","RUY CARNEIRO","PSDB","PB","3215-5536","dep.ruycarneiro@camara.leg.br","Deputado/a",NA
"218","SANDERSON","PSL","RS","3215-5354","dep.sanderson@camara.leg.br","Deputado/a",NA
"219","SANTINI","PTB","RS","3215-5228","dep.santini@camara.leg.br","Deputado/a",NA
"220","SCHIAVINATO","PP","PR","3215-5746","dep.schiavinato@camara.leg.br","Deputado/a",NA
"221","SERGIO SOUZA","MDB","PR","3215-5702","dep.sergiosouza@camara.leg.br","Deputado/a",NA
"222","SHÉRIDAN","PSDB","RR","3215-5246","dep.sheridan@camara.leg.br","Deputado/a",NA
"223","SIDNEY LEITE","PSD","AM","3215-5266","dep.sidneyleite@camara.leg.br","Deputado/a",NA
"224","SILAS CÂMARA","PRB","AM","3215-5532","dep.silascamara@camara.leg.br","Deputado/a",NA
"225","SÓSTENES CAVALCANTE","DEM","RJ","3215-5560","dep.sostenescavalcante@camara.leg.br","Deputado/a",NA
"226","SUBTENENTE GONZAGA","PDT","MG","3215-5750","dep.subtenentegonzaga@camara.leg.br","Deputado/a",NA
"227","TIAGO DIMAS","SOLIDARIEDADE","TO","3215-5269","dep.tiagodimas@camara.leg.br","Deputado/a",NA
"228","TITO","AVANTE","BA","3215-5352","dep.tito@camara.leg.br","Deputado/a",NA
"229","ULDURICO JUNIOR","PROS","BA","3215-5729","dep.ulduricojunior@camara.leg.br","Deputado/a",NA
"230","VERMELHO","PSD","PR","3215-5920","dep.vermelho@camara.leg.br","Deputado/a",NA
"231","VICENTINHO JÚNIOR","PL","TO","3215-5204","dep.vicentinhojunior@camara.leg.br","Deputado/a",NA
"232","VILSON DA FETAEMG","PSB","MG","3215-5648","dep.vilsondafetaemg@camara.leg.br","Deputado/a",NA
"233","VINICIUS CARVALHO","PRB","SP","3215-5356","dep.viniciuscarvalho@camara.leg.br","Deputado/a",NA
"234","VINICIUS POIT","NOVO","SP","3215-5558","dep.viniciuspoit@camara.leg.br","Deputado/a",NA
"235","VITOR LIPPI","PSDB","SP","3215-5823","dep.vitorlippi@camara.leg.br","Deputado/a",NA
"236","WALTER ALVES","MDB","RN","3215-5435","dep.walteralves@camara.leg.br","Deputado/a",NA
"237","WELITON PRADO","PROS","MG","3215-5250","dep.welitonprado@camara.leg.br","Deputado/a",NA
"238","WELLINGTON ROBERTO","PL","PB","3215-5514","dep.wellingtonroberto@camara.leg.br","Deputado/a",NA
"239","ZÉ SILVA","SOLIDARIEDADE","MG","3215-5608","dep.zesilva@camara.leg.br","Deputado/a",NA
"240","ZÉ VITOR","PL","MG","3215-5525","dep.zevitor@camara.leg.br","Deputado/a",NA
"241","ZECA DIRCEU","PT","PR","3215-5613","dep.zecadirceu@camara.leg.br","Deputado/a",NA
"242","Acir Gurgacz","PDT","RO",NA,"sen.acirgurgacz@senado.leg.br","Senador/a","(61) 3303-3131"
